permalink,name,homepage_url,category_list,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,first_funding_at,last_funding_at
/organization/blue-belt-technologies,Blue Belt Technologies,http://bluebelttech.com,Biotechnology,41431808,acquired,USA,PA,Pittsburgh,Pittsburgh,2,01-01-2003,05-10-2009,30-10-2014
/organization/blue-bottle-coffee,Blue Bottle Coffee,http://www.bluebottlecoffee.com,Coffee|E-Commerce,115700000,operating,USA,CA,SF Bay Area,Oakland,3,01-01-2002,01-01-2012,04-06-2015
/organization/blue-box-group,Blue Box,https://www.blueboxcloud.com,Cloud Management|Enterprise Software,26600000,acquired,USA,WA,Seattle,Seattle,6,01-08-2003,31-10-2012,06-01-2015
/organization/blue-box-media-private-limited,Blue Box Media Private Limited,http://www.blueboxmedia.co,Internet|Media|Portals,8217,operating,IND,24,Jaipur,Jaipur,1,16-08-2014,14-09-2014,14-09-2014
/organization/blue-bridge-technologies,Blue Bridge Technologies,http://www.bb-tech.eu/,Information Technology,658543,operating,USA,MI,Detroit,Ann Arbor,2,01-01-2007,31-01-2011,23-12-2011
/organization/blue-bus-tees,Blue Bus Tees,http://bluebustees.com,E-Commerce,-,operating,IND,16,Mumbai,Mumbai,1,01-01-2008,25-07-2013,25-07-2013
/organization/blue-butterfly,Blue Butterfly,http://b-fly.biz/,Direct Marketing|Marketing Automation|Sales and Marketing,160056,operating,CHE,7,Geneva,Geneva,2,,14-06-2012,01-07-2012
/organization/blue-butterfly-digital,Proxly,http://www.proxly.co,Software,125000,operating,GBR,H9,London,London,1,13-03-2012,15-08-2012,15-08-2012
/organization/blue-buzz-network,Blue Buzz Network,http://www.informifi.com,News,1310000,closed,USA,CA,SF Bay Area,San Francisco,1,01-01-2006,13-07-2010,13-07-2010
/organization/blue-calypso,Blue Calypso,http://www.bluecalypso.com,Advertising|Brand Marketing|Loyalty Programs|Sales and Marketing,8925000,ipo,USA,TX,Dallas,Dallas,9,01-01-2011,31-01-2011,11-08-2015
/organization/blue-chip-surgical-center-partners,Blue Chip Surgical Center Partners,http://bluechipsurgical.com,Health and Wellness,1799683,operating,USA,OH,Cincinnati,Cincinnati,1,01-01-2004,21-07-2009,21-07-2009
/organization/blue-cod-technologies,Blue Cod Technologies,http://www.bluecod.net,Software,13500000,operating,USA,MA,Boston,Marlborough,5,01-01-2000,04-08-2010,27-08-2013
/organization/blue-crow-media,Blue Crow Media,http://www.bluecrowmedia.com,Android|Apps|iPad|iPhone|Publishing|Travel,98262,operating,GBR,H9,London,London,1,01-01-2010,29-05-2014,29-05-2014
